latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.5676,19.1761,300.9,1.2,1.1,2019-02-08,1204,Aqua,MODIS,43,6.03,288,6.4,D,0
42.1273,19.1121,304,1.1,1,2019-02-17,1157,Aqua,MODIS,58,6.03,289.1,6.4,D,0
42.5873,18.9731,315.1,1.1,1,2019-02-17,1157,Aqua,MODIS,75,6.03,288.9,15.8,D,0
42.7556,18.6392,300.9,1.1,1,2019-02-17,1158,Aqua,MODIS,43,6.03,288.5,3.9,D,0
42.4137,19.3084,304.2,1.4,1.2,2019-02-19,1004,Terra,MODIS,58,6.03,290.1,9.9,D,0
42.417,19.2917,301.1,1.4,1.2,2019-02-19,1004,Terra,MODIS,44,6.03,289.4,6.5,D,0
42.4671,19.4077,300.9,1,1,2019-02-19,1145,Aqua,MODIS,43,6.03,286.3,4.5,D,0
42.4208,18.9813,302.1,1,1,2019-02-19,1145,Aqua,MODIS,51,6.03,286.8,5.5,D,0
42.8175,19.4053,307.1,1,1,2019-02-19,1145,Aqua,MODIS,63,6.03,289.8,8.1,D,0
42.8157,19.3932,302.3,1,1,2019-02-19,1145,Aqua,MODIS,44,6.03,290.9,5,D,0
42.8918,18.9493,301,1,1,2019-02-21,0951,Terra,MODIS,44,6.03,278.4,6.2,D,0
42.8898,18.962,300.2,1,1,2019-02-21,0951,Terra,MODIS,30,6.03,278.9,5.7,D,0
42.5881,18.9849,300.1,1.1,1,2019-02-21,0952,Terra,MODIS,21,6.03,282.6,5.6,D,0
42.7741,18.6164,302,1,1,2019-02-26,1151,Aqua,MODIS,21,6.03,282.1,6.4,D,0
42.5417,18.6961,302.5,2,1.4,2019-02-26,2116,Terra,MODIS,50,6.03,277.2,25.8,N,0
42.5439,18.6887,302.7,2,1.4,2019-02-26,2116,Terra,MODIS,51,6.03,276.9,24.6,N,0
42.4048,18.9513,300.8,1.2,1.1,2019-02-28,0958,Terra,MODIS,42,6.03,285.8,6.5,D,0
42.7154,18.995,304.5,1.1,1,2019-02-28,1139,Aqua,MODIS,49,6.03,289.9,6.6,D,0
42.789,19.843,300.2,1,1,2019-02-28,1139,Aqua,MODIS,22,6.03,286.4,4.9,D,2
42.7774,18.8055,303,1.1,1,2019-02-28,1139,Aqua,MODIS,49,6.03,286.9,6,D,0
42.7753,18.793,331.8,1.1,1,2019-02-28,1139,Aqua,MODIS,88,6.03,286.3,36.3,D,0
43.0419,18.6626,316,1.1,1,2019-02-28,1139,Aqua,MODIS,76,6.03,289.9,16.5,D,0
43.0397,18.6491,311,1.1,1,2019-02-28,1139,Aqua,MODIS,65,6.03,291.6,11.9,D,0
42.5557,18.9619,301.8,1.5,1.2,2019-03-02,1127,Aqua,MODIS,47,6.03,285,9.2,D,0
42.7514,19.8669,302.6,1.1,1.1,2019-03-09,1133,Aqua,MODIS,24,6.03,289.7,7.9,D,0
42.7905,19.8711,305.7,1.9,1.4,2019-03-10,1216,Aqua,MODIS,56,6.03,289.1,15.6,D,0
42.7888,19.8494,343.5,1.9,1.4,2019-03-10,1216,Aqua,MODIS,93,6.03,292.8,129.4,D,2
42.8672,18.6095,303.7,1.7,1.3,2019-03-10,1216,Aqua,MODIS,43,6.03,285.1,8.7,D,0
42.7461,19.7541,304.4,1.6,1.2,2019-03-19,1210,Aqua,MODIS,8,6.03,285.5,7.7,D,0
42.8134,18.7269,309.4,1.1,1,2019-03-21,1158,Aqua,MODIS,67,6.03,293.1,7,D,0
43.0742,18.6657,307.9,1.1,1,2019-03-21,1158,Aqua,MODIS,35,6.03,291.6,7,D,0
43.0726,18.6532,309.6,1.1,1,2019-03-21,1158,Aqua,MODIS,57,6.03,293.1,7.4,D,0
43.0798,18.6586,310.6,1.1,1,2019-03-21,1158,Aqua,MODIS,68,6.03,290.1,10.6,D,0
43.4504,19.0463,302.1,1.6,1.2,2019-03-22,0921,Terra,MODIS,51,6.03,287.9,9.8,D,0
42.582,19.2192,306.8,1.5,1.2,2019-03-22,0921,Terra,MODIS,63,6.03,292.6,9.7,D,0
42.5802,19.2378,314.2,1.5,1.2,2019-03-22,0921,Terra,MODIS,74,6.03,292.1,19.1,D,0
42.5793,19.2361,300,1.2,1.1,2019-03-22,2027,Terra,MODIS,12,6.03,275.9,9.7,N,0
42.5722,19.2434,306.7,1.1,1,2019-03-23,0039,Aqua,MODIS,69,6.03,278.6,12.7,N,0
42.8039,18.6934,307,1.3,1.1,2019-03-23,1004,Terra,MODIS,64,6.03,295.9,6.4,D,0
42.5731,19.2538,311.1,1.4,1.2,2019-03-23,1004,Terra,MODIS,70,6.03,295.7,12.2,D,0
42.6768,18.6536,311.7,1.3,1.1,2019-03-23,1004,Terra,MODIS,71,6.03,295.2,12.1,D,0
42.566,19.2341,307.5,1.4,1.2,2019-03-23,1004,Terra,MODIS,48,6.03,295.7,7.7,D,0
42.7923,19.4062,313.1,1.4,1.2,2019-03-23,1004,Terra,MODIS,73,6.03,292.6,17.7,D,0
41.9371,19.3499,308.3,1,1,2019-03-23,1145,Aqua,MODIS,0,6.03,295.8,4.5,D,0
42.4306,19.0009,306.4,1,1,2019-03-23,1145,Aqua,MODIS,54,6.03,294.4,3.6,D,0
42.619,19.9561,307.6,1,1,2019-03-23,1145,Aqua,MODIS,50,6.03,294.9,6.6,D,0
42.5699,19.245,330.3,1,1,2019-03-23,1145,Aqua,MODIS,86,6.03,300.5,24.7,D,0
42.5681,19.233,315,1,1,2019-03-23,1145,Aqua,MODIS,73,6.03,299.7,8.4,D,0
42.61,19.454,304,1,1,2019-03-23,1145,Aqua,MODIS,28,6.03,292.3,3.1,D,0
42.6305,19.1597,309,1,1,2019-03-23,1145,Aqua,MODIS,49,6.03,295.5,6.5,D,0
42.6143,18.8671,317,1,1,2019-03-23,1145,Aqua,MODIS,77,6.03,297.7,11.7,D,0
42.6744,19.0781,308.4,1,1,2019-03-23,1145,Aqua,MODIS,66,6.03,297.3,5.6,D,0
42.6643,18.6487,313.3,1,1,2019-03-23,1145,Aqua,MODIS,42,6.03,298.5,7,D,0
42.7877,19.405,326.1,1,1,2019-03-23,1145,Aqua,MODIS,84,6.03,297.7,22.1,D,0
42.7859,19.3929,312.6,1,1,2019-03-23,1145,Aqua,MODIS,71,6.03,296.5,9.2,D,0
42.6733,18.6534,317.6,1,1,2019-03-23,1145,Aqua,MODIS,77,6.03,299.2,12.1,D,0
42.6714,18.6411,312.7,1,1,2019-03-23,1145,Aqua,MODIS,72,6.03,297.2,7.6,D,0
42.8392,19.5667,313.3,1,1,2019-03-23,1145,Aqua,MODIS,64,6.03,289.5,12.4,D,0
42.8375,19.5547,365.2,1,1,2019-03-23,1145,Aqua,MODIS,100,6.03,292.7,101.1,D,0
42.8017,18.6991,310,1,1,2019-03-23,1146,Aqua,MODIS,47,6.03,297.8,4.6,D,0
42.7998,18.687,313,1,1,2019-03-23,1146,Aqua,MODIS,71,6.03,298,7.2,D,0
42.9647,19.726,305.3,1,1,2019-03-23,1146,Aqua,MODIS,40,6.03,293.1,5.4,D,0
42.8233,18.7186,312.2,1,1,2019-03-23,1146,Aqua,MODIS,70,6.03,296.2,7.1,D,0
42.8894,19.0303,309.6,1,1,2019-03-23,1146,Aqua,MODIS,29,6.03,290.6,8.8,D,0
42.905,18.8932,309.5,1,1,2019-03-23,1146,Aqua,MODIS,61,6.03,295.6,6.7,D,0
42.9032,18.8811,315.3,1,1,2019-03-23,1146,Aqua,MODIS,74,6.03,294.7,11.1,D,0
43.0082,19.4577,312.7,1,1,2019-03-23,1146,Aqua,MODIS,70,6.03,295.3,9.9,D,0
43.0238,18.8782,310.2,1,1,2019-03-23,1146,Aqua,MODIS,47,6.03,295.9,7.5,D,0
42.7926,19.4094,311.4,2.2,1.4,2019-03-24,0909,Terra,MODIS,70,6.03,294.3,26.3,D,0
42.6769,18.6545,306.9,2.4,1.5,2019-03-24,0909,Terra,MODIS,59,6.03,294.7,17.2,D,0
42.7853,19.4143,304.4,4.4,1.9,2019-03-24,1051,Aqua,MODIS,51,6.03,291.8,55.4,D,0
42.7867,19.4063,307.6,4.4,1.9,2019-03-24,1051,Aqua,MODIS,61,6.03,291.8,73.8,D,0
42.8831,18.871,306.2,4.7,2,2019-03-24,1051,Aqua,MODIS,49,6.03,292.5,67.5,D,0
42.8825,18.8682,305.7,4.7,2,2019-03-24,1051,Aqua,MODIS,41,6.03,292.5,63.4,D,0
42.687,19.8365,306.8,2.9,1.6,2019-03-24,1228,Aqua,MODIS,25,6.03,294.1,32.1,D,0
42.6727,19.0829,307.8,2.7,1.6,2019-03-24,1228,Aqua,MODIS,40,6.03,295.3,21.2,D,0
42.6782,19.0742,307.1,2.7,1.6,2019-03-24,1228,Aqua,MODIS,49,6.03,295.2,19,D,0
42.7417,19.7133,307.7,2.9,1.6,2019-03-24,1228,Aqua,MODIS,39,6.03,295.1,36.1,D,0
42.6801,18.6337,310.8,2.5,1.5,2019-03-24,1228,Aqua,MODIS,67,6.03,296.3,23,D,0
42.7846,19.4027,311.3,2.8,1.6,2019-03-24,1228,Aqua,MODIS,55,6.03,297.4,34,D,0
42.8012,18.7098,309.6,2.5,1.5,2019-03-24,1228,Aqua,MODIS,65,6.03,297.4,17.8,D,0
42.7946,18.7029,310.4,2.5,1.5,2019-03-24,1228,Aqua,MODIS,31,6.03,297,17.3,D,0
42.8928,18.8755,309.1,2.6,1.5,2019-03-24,1229,Aqua,MODIS,62,6.03,296.9,20.4,D,0
42.9961,18.961,314.5,2.6,1.6,2019-03-24,1229,Aqua,MODIS,70,6.03,297,39.9,D,0
43.0019,18.9527,316.5,2.6,1.6,2019-03-24,1229,Aqua,MODIS,74,6.03,296.8,45.6,D,0
42.7887,19.4066,308.8,1.1,1,2019-03-25,0952,Terra,MODIS,59,6.03,296.3,6.8,D,0
43.4439,19.1541,307.9,1,1,2019-03-25,0952,Terra,MODIS,59,6.03,294.9,5.2,D,0
43.2097,19.4441,311.7,1.1,1,2019-03-25,0952,Terra,MODIS,66,6.03,296.4,9.2,D,0
42.9742,18.4941,309.8,1,1,2019-03-25,0952,Terra,MODIS,68,6.03,294.7,6.9,D,0
42.8992,18.9075,309.6,1,1,2019-03-25,0952,Terra,MODIS,67,6.03,296,6.3,D,0
42.7979,19.4087,307,1.1,1,2019-03-25,0952,Terra,MODIS,41,6.03,295.3,5.4,D,0
42.7024,19.4806,308.2,1.1,1,2019-03-25,0952,Terra,MODIS,63,6.03,292.9,8.5,D,0
42.2231,19.0048,309.6,1.1,1,2019-03-25,0952,Terra,MODIS,65,6.03,296,8,D,0
42.4726,18.8628,321.8,1.3,1.1,2019-03-25,1133,Aqua,MODIS,80,6.03,293.7,25.1,D,0
42.6456,19.4752,307.2,1.2,1.1,2019-03-25,1133,Aqua,MODIS,40,6.03,294.3,7.7,D,0
42.6431,19.4612,309.4,1.2,1.1,2019-03-25,1133,Aqua,MODIS,65,6.03,296.1,9.1,D,0
42.6979,19.4876,306.1,1.2,1.1,2019-03-25,1133,Aqua,MODIS,51,6.03,293.6,7.5,D,0
42.6954,19.4727,305.6,1.2,1.1,2019-03-25,1133,Aqua,MODIS,48,6.03,293.3,7.3,D,0
42.6324,19.115,305.9,1.2,1.1,2019-03-25,1133,Aqua,MODIS,51,6.03,294.1,5.5,D,0
42.6993,19.4813,305.8,1.2,1.1,2019-03-25,1133,Aqua,MODIS,56,6.03,294.5,7.1,D,0
42.7911,19.4127,310.9,1.2,1.1,2019-03-25,1133,Aqua,MODIS,60,6.03,296.9,9.4,D,0
42.7885,19.398,325.4,1.2,1.1,2019-03-25,1133,Aqua,MODIS,82,6.03,299.3,27,D,0
42.8265,18.6377,310.6,1.3,1.1,2019-03-25,1133,Aqua,MODIS,59,6.03,299.1,8.3,D,0
42.8256,18.6312,311.6,1.3,1.1,2019-03-25,1133,Aqua,MODIS,60,6.03,299.9,9.1,D,0
43.0741,19.6777,305.8,1.1,1.1,2019-03-25,1133,Aqua,MODIS,48,6.03,295.3,3.7,D,0
42.9316,18.7567,318.6,1.3,1.1,2019-03-25,1133,Aqua,MODIS,76,6.03,293.7,21.6,D,0
42.9288,18.741,315.5,1.3,1.1,2019-03-25,1133,Aqua,MODIS,68,6.03,296.6,18,D,0
42.977,18.4947,315.6,1.3,1.1,2019-03-25,1133,Aqua,MODIS,74,6.03,294.5,14.9,D,0
42.974,18.4782,308.1,1.3,1.1,2019-03-25,1133,Aqua,MODIS,52,6.03,296.5,6.2,D,0
43.0619,18.8414,313.5,1.2,1.1,2019-03-25,1133,Aqua,MODIS,66,6.03,297.4,13.5,D,0
43.2103,19.4446,310.4,1.2,1.1,2019-03-25,1133,Aqua,MODIS,57,6.03,297.7,8.2,D,0
43.3545,19.1459,304.6,1.2,1.1,2019-03-25,1133,Aqua,MODIS,34,6.03,293.2,6.5,D,0
43.352,19.1317,309.7,1.2,1.1,2019-03-25,1133,Aqua,MODIS,48,6.03,296.3,11.7,D,0
43.5062,19.0047,306.7,1.2,1.1,2019-03-25,1134,Aqua,MODIS,56,6.03,295.1,7.3,D,0
43.0028,18.4751,302.7,1.1,1,2019-03-27,0939,Terra,MODIS,53,6.03,287.7,4.6,D,0
42.9977,18.5137,317.1,1,1,2019-03-27,0939,Terra,MODIS,77,6.03,286.9,14.7,D,0
42.9886,18.5116,319.2,1,1,2019-03-27,0939,Terra,MODIS,79,6.03,286.6,16.7,D,0
42.9869,18.5243,307.3,1,1,2019-03-27,0939,Terra,MODIS,52,6.03,286.3,6.8,D,0
42.7824,18.7474,303.7,1,1,2019-03-27,0939,Terra,MODIS,46,6.03,288.9,4.9,D,0
42.4389,19.1024,313.7,1,1,2019-03-27,0940,Terra,MODIS,74,6.03,290.5,10.9,D,0
42.8765,18.9702,300.5,1.7,1.3,2019-03-27,1121,Aqua,MODIS,34,6.03,285.8,8.1,D,0
42.8718,18.9474,304.6,1.7,1.3,2019-03-27,1121,Aqua,MODIS,59,6.03,289,13,D,0
42.8727,18.9632,305.7,1.7,1.3,2019-03-27,1121,Aqua,MODIS,53,6.03,287.3,14.1,D,0
42.9285,18.7645,307.8,1.8,1.3,2019-03-27,1121,Aqua,MODIS,58,6.03,284.6,21.8,D,0
42.9349,18.7576,304.4,1.8,1.3,2019-03-27,1121,Aqua,MODIS,35,6.03,283.4,16.3,D,0
42.9808,18.5081,302.9,1.8,1.3,2019-03-27,1121,Aqua,MODIS,27,6.03,286.5,10,D,0
42.9911,18.5198,305.6,1.8,1.3,2019-03-27,1121,Aqua,MODIS,53,6.03,286.8,16.1,D,0
42.9863,18.4976,302.4,1.8,1.3,2019-03-27,1121,Aqua,MODIS,52,6.03,286.4,9.8,D,0
43.0247,18.8944,304.9,2.3,1.5,2019-03-28,1022,Terra,MODIS,48,6.03,287.5,25,D,0
42.87,19.4465,307,2.5,1.5,2019-03-28,1022,Terra,MODIS,56,6.03,288.4,41.2,D,0
42.8672,18.9946,306.4,2.4,1.5,2019-03-28,1022,Terra,MODIS,63,6.03,287.3,28.5,D,0
42.8008,18.7516,300.3,2.3,1.5,2019-03-28,1022,Terra,MODIS,34,6.03,288.5,13,D,0
