latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.5672,50.0166,307,1.1,1,2006-01-01,0719,Terra,MODIS,65,6.2,289.2,8.8,D,0
30.3855,49.8572,306.1,1.1,1,2006-01-01,0719,Terra,MODIS,63,6.2,288,7.5,D,2
30.1536,50.4266,311.6,1.1,1,2006-01-01,0719,Terra,MODIS,71,6.2,289.9,11.7,D,2
31.1402,49.3114,300.1,1.2,1.1,2006-01-01,0719,Terra,MODIS,23,6.2,289.4,3.9,D,2
32.3515,47.7033,314.5,1.5,1.2,2006-01-01,0719,Terra,MODIS,75,6.2,290.3,21.3,D,2
31.2024,48.9641,302.7,1.2,1.1,2006-01-01,0719,Terra,MODIS,47,6.2,290.5,6,D,2
30.9203,48.8608,303.5,1.2,1.1,2006-01-01,0719,Terra,MODIS,56,6.2,288.8,7.5,D,2
31.3162,49.2902,308,1.2,1.1,2006-01-01,0719,Terra,MODIS,44,6.2,289.1,9.4,D,2
32.2415,51.4276,310.2,1,1,2006-01-01,0719,Terra,MODIS,70,6.2,281,12.8,D,2
31.3056,49.116,306.2,1.2,1.1,2006-01-01,0719,Terra,MODIS,63,6.2,288.5,9.7,D,2
31.3065,48.7757,303.1,1.3,1.1,2006-01-01,0719,Terra,MODIS,55,6.2,288.3,7.5,D,2
29.5122,51.2577,301.2,1,1,2006-01-01,0719,Terra,MODIS,45,6.2,290.1,4,D,0
30.7541,48.2925,302.7,1.3,1.1,2006-01-01,0719,Terra,MODIS,53,6.2,288.1,6.7,D,2
30.2598,50.7873,301.2,1,1,2006-01-01,0719,Terra,MODIS,45,6.2,284.5,5.4,D,2
30.719,49.8221,303.5,1.1,1.1,2006-01-01,0719,Terra,MODIS,56,6.2,289.3,6.3,D,2
32.061,49.0946,310.7,1.2,1.1,2006-01-01,0719,Terra,MODIS,70,6.2,287.2,14.2,D,2
30.6044,49.9245,311.8,1.1,1,2006-01-01,0719,Terra,MODIS,72,6.2,288.8,12.2,D,0
30.0337,50.6294,302.5,1,1,2006-01-01,0719,Terra,MODIS,49,6.2,290,5.2,D,2
31.2491,49.1709,301.5,1.2,1.1,2006-01-01,0719,Terra,MODIS,44,6.2,287.8,6.3,D,0
31.3114,49.3078,306.6,1.2,1.1,2006-01-01,0719,Terra,MODIS,64,6.2,288.8,8.9,D,2
31.2188,48.4918,300.9,1.3,1.1,2006-01-01,0719,Terra,MODIS,43,6.2,288.2,6.9,D,2
31.2958,49.1145,300.2,1.2,1.1,2006-01-01,0719,Terra,MODIS,20,6.2,288,4.9,D,2
32.3498,47.7191,305.5,1.5,1.2,2006-01-01,0719,Terra,MODIS,62,6.2,289.9,9.9,D,2
31.0378,49.3998,301.7,1.2,1.1,2006-01-01,0719,Terra,MODIS,49,6.2,289,5.4,D,0
31.0393,49.3877,304.8,1.2,1.1,2006-01-01,0719,Terra,MODIS,60,6.2,288.9,7.5,D,0
29.9395,50.8399,309.4,1,1,2006-01-01,0719,Terra,MODIS,69,6.2,288.8,9.2,D,2
30.7951,49.7945,300.2,1.1,1.1,2006-01-01,0719,Terra,MODIS,28,6.2,288.2,4,D,2
30.7907,49.7874,304.3,1.1,1.1,2006-01-01,0719,Terra,MODIS,59,6.2,290.3,7,D,2
30.9018,49.6755,307.3,1.1,1.1,2006-01-01,0719,Terra,MODIS,65,6.2,291.1,8,D,2
30.0557,50.5966,302.3,1,1,2006-01-01,0719,Terra,MODIS,51,6.2,288.4,4.9,D,0
32.2859,49.0028,318.7,1.3,1.1,2006-01-01,0719,Terra,MODIS,79,6.2,287.7,23.8,D,2
31.2387,48.9959,315.5,1.2,1.1,2006-01-01,0719,Terra,MODIS,76,6.2,287.8,19.6,D,2
31.3145,49.2833,307.2,1.2,1.1,2006-01-01,0719,Terra,MODIS,65,6.2,289.1,9.3,D,2
31.204,48.9513,315.2,1.2,1.1,2006-01-01,0719,Terra,MODIS,75,6.2,290.7,17.6,D,2
32.2843,49.016,300.8,1.3,1.1,2006-01-01,0719,Terra,MODIS,41,6.2,287.8,6,D,2
30.0408,50.6373,311.2,1,1,2006-01-01,0719,Terra,MODIS,71,6.2,291.1,10.2,D,2
31.3724,49.2359,302.5,1.2,1.1,2006-01-01,0719,Terra,MODIS,52,6.2,287.7,6.6,D,0
31.3177,49.2778,318.6,1.2,1.1,2006-01-01,0719,Terra,MODIS,79,6.2,289.3,20.6,D,2
31.2138,48.9529,306.8,1.2,1.1,2006-01-01,0719,Terra,MODIS,50,6.2,289,8.7,D,2
31.2403,48.9831,310,1.2,1.1,2006-01-01,0719,Terra,MODIS,69,6.2,287.9,13.9,D,2
32.4233,51.3132,301,1,1,2006-01-01,0719,Terra,MODIS,44,6.2,279,7.2,D,2
30.1551,50.4157,304.4,1.1,1,2006-01-01,0719,Terra,MODIS,59,6.2,289.4,6.5,D,2
31.1387,49.3236,319.1,1.2,1.1,2006-01-01,0719,Terra,MODIS,79,6.2,290.3,21.1,D,2
30.3949,49.8588,305.3,1.1,1,2006-01-01,0719,Terra,MODIS,61,6.2,288.7,7.1,D,2
30.3461,50.2946,302.5,1.1,1,2006-01-01,0719,Terra,MODIS,52,6.2,288.2,5.8,D,2
29.7905,50.5187,305,1,1,2006-01-01,0719,Terra,MODIS,60,6.2,288.9,6.7,D,0
31.8998,49.3354,311.7,1.2,1.1,2006-01-01,0719,Terra,MODIS,72,6.2,286.7,14.7,D,2
31.4026,48.6493,313.4,1.3,1.1,2006-01-01,0719,Terra,MODIS,74,6.2,289.3,17.3,D,2
32.4218,51.3241,303.6,1,1,2006-01-01,0719,Terra,MODIS,56,6.2,280.5,8.8,D,2
30.8967,49.6799,307.9,1.1,1.1,2006-01-01,0719,Terra,MODIS,66,6.2,291.2,9.3,D,2
30.7557,48.2789,324.8,1.3,1.1,2006-01-01,0719,Terra,MODIS,83,6.2,289.5,33.7,D,2
30.0322,50.64,304.8,1,1,2006-01-01,0719,Terra,MODIS,60,6.2,289.9,6.6,D,2
27.551,52.5762,305.5,1,1,2006-01-01,0720,Terra,MODIS,39,6.2,292,4.8,D,2
28.7506,54.2378,300.2,1.1,1.1,2006-01-01,0720,Terra,MODIS,23,6.2,286.3,4.3,D,0
27.4879,52.9717,307.5,1.1,1,2006-01-01,0720,Terra,MODIS,65,6.2,292.3,6.1,D,2
28.6895,52.3857,300.5,1,1,2006-01-01,0720,Terra,MODIS,38,6.2,288.4,3.6,D,0
30.7463,48.259,304.9,2.4,1.5,2006-01-01,1030,Aqua,MODIS,47,6.2,292,12.2,D,2
30.782,49.7718,304,3,1.7,2006-01-01,1030,Aqua,MODIS,57,6.2,293.6,20.4,D,0
32.3508,47.709,311.9,2.3,1.5,2006-01-01,1030,Aqua,MODIS,71,6.2,295,25.2,D,2
30.7485,48.2838,310.3,2.4,1.5,2006-01-01,1030,Aqua,MODIS,70,6.2,293.1,24.7,D,2
31.3987,48.638,305.5,2.6,1.5,2006-01-01,1030,Aqua,MODIS,61,6.2,293.1,19.4,D,2
30.758,48.2749,304.4,2.4,1.5,2006-01-01,1030,Aqua,MODIS,59,6.2,291.5,11.2,D,2
31.3687,49.2171,300.6,2.8,1.6,2006-01-01,1030,Aqua,MODIS,40,6.2,290.1,13.9,D,0
31.3598,49.2397,302.1,2.8,1.6,2006-01-01,1030,Aqua,MODIS,50,6.2,291.1,18.4,D,0
30.3841,49.8664,303.5,3,1.7,2006-01-01,1030,Aqua,MODIS,46,6.2,293,17.2,D,2
32.2853,48.9928,303.7,2.8,1.6,2006-01-01,1030,Aqua,MODIS,54,6.2,291.9,17.9,D,2
30.7446,48.2764,307.3,2.4,1.5,2006-01-01,1030,Aqua,MODIS,65,6.2,292.8,18.2,D,2
31.3021,49.1063,300.4,2.8,1.6,2006-01-01,1030,Aqua,MODIS,36,6.2,290.2,13.7,D,2
31.2009,48.9489,313.7,2.7,1.6,2006-01-01,1030,Aqua,MODIS,74,6.2,294.4,45.4,D,2
31.1377,49.3122,311.5,2.8,1.6,2006-01-01,1030,Aqua,MODIS,71,6.2,291.1,41.6,D,2
31.3155,49.2817,310.8,2.8,1.6,2006-01-01,1030,Aqua,MODIS,71,6.2,291.3,43.9,D,2
31.4034,48.6325,303.5,2.6,1.5,2006-01-01,1030,Aqua,MODIS,54,6.2,293.1,14.4,D,2
31.0398,49.3872,306.5,2.9,1.6,2006-01-01,1030,Aqua,MODIS,64,6.2,291.5,26.1,D,0
32.1678,47.5275,313.7,2.2,1.4,2006-01-01,1030,Aqua,MODIS,73,6.2,295.4,29,D,0
32.502,47.2079,306.5,2.1,1.4,2006-01-01,1031,Aqua,MODIS,61,6.2,295.9,10,D,2
32.5569,47.1051,332.4,2.1,1.4,2006-01-01,1031,Aqua,MODIS,88,6.2,298,82.3,D,0
32.5588,47.1272,328.3,2.1,1.4,2006-01-01,1031,Aqua,MODIS,85,6.2,296.1,67.9,D,0
30.7578,48.2683,304.4,2.8,1.6,2006-01-01,1819,Terra,MODIS,60,6.2,274.8,48.5,N,2
30.7555,48.2742,314.6,2.8,1.6,2006-01-01,1819,Terra,MODIS,89,6.2,275.2,81.2,N,2
31.2084,48.9539,300.6,2.5,1.5,2006-01-01,1819,Terra,MODIS,31,6.2,279.3,28.4,N,2
30.0339,50.6341,302.2,2.1,1.4,2006-01-01,1819,Terra,MODIS,47,6.2,280.4,23,N,2
32.358,47.7128,302.2,1.1,1,2006-01-01,2234,Aqua,MODIS,48,6.2,267.7,11.3,N,2
32.2902,49.0119,307.3,1,1,2006-01-01,2234,Aqua,MODIS,71,6.2,276.5,12.2,N,2
31.2109,48.9521,304.5,1,1,2006-01-01,2235,Aqua,MODIS,60,6.2,278.6,10.4,N,2
30.3906,49.8652,306.7,1,1,2006-01-01,2235,Aqua,MODIS,69,6.2,280.2,11.8,N,2
31.3192,49.2843,313.5,1,1,2006-01-01,2235,Aqua,MODIS,87,6.2,278.4,16.6,N,2
30.754,48.2834,313.5,1,1,2006-01-01,2235,Aqua,MODIS,87,6.2,277.6,17.2,N,2
29.2488,50.3085,317.8,1.1,1,2006-01-01,2235,Aqua,MODIS,96,6.2,285,19.8,N,2
31.242,48.9902,302.1,1,1,2006-01-01,2235,Aqua,MODIS,47,6.2,278.7,8.8,N,2
31.1383,49.3213,310.3,1,1,2006-01-01,2235,Aqua,MODIS,80,6.2,278.4,14.4,N,2
27.5452,52.5872,312.5,1.4,1.2,2006-01-01,2236,Aqua,MODIS,85,6.2,285.4,21.6,N,2
27.5559,52.5882,306.3,1.4,1.2,2006-01-01,2236,Aqua,MODIS,68,6.2,285.1,16,N,2
30.7581,48.2827,304.4,2,1.4,2006-01-02,0802,Terra,MODIS,44,6.2,273.2,20.9,D,2
28.5244,57.7903,311.5,1.2,1.1,2006-01-02,0934,Aqua,MODIS,67,6.2,293.2,10.2,D,0
31.4017,48.6381,303,1.6,1.3,2006-01-02,0935,Aqua,MODIS,55,6.2,288.5,9.5,D,2
30.7515,48.2805,324.1,1.8,1.3,2006-01-02,0935,Aqua,MODIS,83,6.2,288.7,51.8,D,2
30.3838,49.8562,306,1.4,1.2,2006-01-02,0935,Aqua,MODIS,63,6.2,283.7,14,D,2
31.204,48.9418,306.4,1.6,1.2,2006-01-02,0935,Aqua,MODIS,52,6.2,285,15.4,D,2
30.748,48.2625,309.2,1.8,1.3,2006-01-02,0935,Aqua,MODIS,68,6.2,287.4,22.2,D,2
31.207,48.9579,306.7,1.6,1.2,2006-01-02,0935,Aqua,MODIS,59,6.2,283.8,15.6,D,2
31.2029,48.9487,312.7,1.6,1.2,2006-01-02,0935,Aqua,MODIS,73,6.2,285,25.6,D,2
30.7512,48.2785,314.1,1.1,1,2006-01-02,1902,Terra,MODIS,88,6.2,281.2,17.9,N,2
29.211,50.3145,320.1,1.2,1.1,2006-01-02,1902,Terra,MODIS,100,6.2,288.6,24.5,N,3
32.3489,47.7098,306,1,1,2006-01-02,1902,Terra,MODIS,67,6.2,278.3,11.7,N,2
32.2834,49.0093,309.2,1.9,1.4,2006-01-03,0706,Terra,MODIS,68,6.2,287.1,24.6,D,2
32.3491,47.706,315.2,2.4,1.5,2006-01-03,0706,Terra,MODIS,76,6.2,289.3,45.5,D,2
32.3579,47.7132,307.9,2.4,1.5,2006-01-03,0706,Terra,MODIS,55,6.2,289,23.4,D,2
31.1313,49.3289,305,1.8,1.3,2006-01-03,0707,Terra,MODIS,54,6.2,288.1,13.1,D,2
30.8998,49.6869,310.6,1.7,1.3,2006-01-03,0707,Terra,MODIS,70,6.2,290.7,19.9,D,2
30.9239,48.8628,302,1.9,1.3,2006-01-03,0707,Terra,MODIS,50,6.2,288.3,12.2,D,2
31.4106,48.6461,302.5,2,1.4,2006-01-03,0707,Terra,MODIS,53,6.2,287.7,13.7,D,2
31.1332,49.3104,303.2,1.8,1.3,2006-01-03,0707,Terra,MODIS,37,6.2,288.6,10.1,D,2
29.9393,50.8329,300.6,1.4,1.2,2006-01-03,0707,Terra,MODIS,39,6.2,289.4,4.6,D,2
30.5681,50.0171,301.6,1.6,1.2,2006-01-03,0707,Terra,MODIS,48,6.2,290.2,6.4,D,0
28.3243,55.18,303.6,1,1,2006-01-03,0707,Terra,MODIS,57,6.2,289.2,4.8,D,0
30.5679,49.9148,301.5,1.6,1.2,2006-01-03,0707,Terra,MODIS,42,6.2,289,7.5,D,2
28.3227,55.1901,303.2,1,1,2006-01-03,0707,Terra,MODIS,55,6.2,289.6,4.4,D,0
29.9376,50.8469,302.6,1.4,1.2,2006-01-03,0707,Terra,MODIS,53,6.2,289.2,6.3,D,2
31.2116,48.9576,317.6,1.9,1.3,2006-01-03,0707,Terra,MODIS,78,6.2,289.7,38.8,D,2
31.1402,49.3172,309.5,1.8,1.3,2006-01-03,0707,Terra,MODIS,69,6.2,288.9,21.3,D,2
30.344,50.2961,300.6,1.5,1.2,2006-01-03,0707,Terra,MODIS,39,6.2,289.1,6.3,D,2
31.2153,48.4973,303.6,2,1.4,2006-01-03,0707,Terra,MODIS,57,6.2,288.2,16.2,D,2
30.0693,50.6843,306.2,1.4,1.2,2006-01-03,0707,Terra,MODIS,63,6.2,289.7,9.9,D,0
30.0653,50.6749,304.9,1.4,1.2,2006-01-03,0707,Terra,MODIS,59,6.2,289.8,8.6,D,0
31.3239,49.2972,302.7,1.8,1.3,2006-01-03,0707,Terra,MODIS,53,6.2,288.5,11.4,D,2
31.3257,49.2786,313.5,1.8,1.3,2006-01-03,0707,Terra,MODIS,74,6.2,288.8,28.4,D,2
32.063,49.1065,304.5,1.9,1.3,2006-01-03,0707,Terra,MODIS,57,6.2,288.8,13.3,D,2
30.3913,49.8621,323.7,1.6,1.2,2006-01-03,0707,Terra,MODIS,83,6.2,291,41.6,D,2
30.4313,49.8055,300.8,1.6,1.3,2006-01-03,0707,Terra,MODIS,41,6.2,289.3,6.9,D,0
31.3191,49.2716,306.8,1.8,1.3,2006-01-03,0707,Terra,MODIS,37,6.2,289.1,15.1,D,2
31.3172,49.2904,309.7,1.8,1.3,2006-01-03,0707,Terra,MODIS,57,6.2,289.1,19.7,D,2
30.8994,49.6748,318.5,1.7,1.3,2006-01-03,0707,Terra,MODIS,79,6.2,291.4,31.5,D,2
30.9017,49.6691,310.3,1.7,1.3,2006-01-03,0707,Terra,MODIS,70,6.2,291.1,19.2,D,2
32.0696,49.0929,303.5,1.9,1.3,2006-01-03,0707,Terra,MODIS,56,6.2,288.7,12.7,D,2
27.4835,52.9715,306.3,1,1,2006-01-03,0708,Terra,MODIS,61,6.2,289.9,6.3,D,2
30.0358,50.6285,309.1,2.1,1.4,2006-01-03,1017,Aqua,MODIS,68,6.2,294.4,17.8,D,2
30.1954,50.8136,313.2,2.2,1.4,2006-01-03,1018,Aqua,MODIS,73,6.2,290.8,30.6,D,0
30.1935,50.7921,304.1,2.1,1.4,2006-01-03,1018,Aqua,MODIS,58,6.2,292.1,11.1,D,0
31.2679,48.7251,308.3,1.6,1.2,2006-01-03,1018,Aqua,MODIS,64,6.2,295.2,10.9,D,2
30.3906,49.8576,321.7,1.9,1.3,2006-01-03,1018,Aqua,MODIS,81,6.2,295.3,40.5,D,2
31.7664,47.9477,329.7,1.5,1.2,2006-01-03,1018,Aqua,MODIS,86,6.2,294,45.8,D,0
32.3456,47.7092,312.4,1.4,1.2,2006-01-03,1018,Aqua,MODIS,69,6.2,296.6,12.3,D,2
31.1985,48.9495,310.4,1.7,1.3,2006-01-03,1018,Aqua,MODIS,68,6.2,297.1,14.1,D,2
31.2099,48.948,308.8,1.7,1.3,2006-01-03,1018,Aqua,MODIS,53,6.2,294,11.8,D,2
30.5661,49.9224,307.9,1.9,1.3,2006-01-03,1018,Aqua,MODIS,65,6.2,292.8,15.5,D,2
31.1319,49.3066,309,1.8,1.3,2006-01-03,1018,Aqua,MODIS,66,6.2,294,13.8,D,2
30.5643,49.9029,302.9,1.9,1.3,2006-01-03,1018,Aqua,MODIS,50,6.2,292.8,8.2,D,2
32.2821,48.9964,311,1.7,1.3,2006-01-03,1018,Aqua,MODIS,70,6.2,292.6,19.2,D,2
30.894,49.6785,315.6,1.8,1.3,2006-01-03,1018,Aqua,MODIS,75,6.2,295.4,27,D,2
31.4074,48.6421,309.2,1.6,1.2,2006-01-03,1018,Aqua,MODIS,66,6.2,294.3,12.3,D,2
31.1336,49.3249,310,1.8,1.3,2006-01-03,1018,Aqua,MODIS,67,6.2,293.3,15.9,D,2
32.0869,48.402,316.7,1.6,1.2,2006-01-03,1018,Aqua,MODIS,75,6.2,292.4,26.6,D,0
32.0622,48.7037,305.8,1.6,1.3,2006-01-03,1018,Aqua,MODIS,52,6.2,293.4,9.6,D,2
31.4069,48.6491,305.5,1.6,1.2,2006-01-03,1018,Aqua,MODIS,57,6.2,294,8.1,D,2
30.8922,49.6596,307.7,1.8,1.3,2006-01-03,1018,Aqua,MODIS,64,6.2,294.4,11.9,D,2
32.06,48.6983,306.8,1.6,1.3,2006-01-03,1018,Aqua,MODIS,61,6.2,294.4,11.7,D,2
31.2111,48.498,304.3,1.6,1.2,2006-01-03,1018,Aqua,MODIS,53,6.2,293.7,7.6,D,2
31.3235,49.2869,308.4,1.8,1.3,2006-01-03,1018,Aqua,MODIS,66,6.2,293.9,13.2,D,2
31.3217,49.2686,310.4,1.8,1.3,2006-01-03,1018,Aqua,MODIS,69,6.2,295.2,15.9,D,2
30.7539,48.2731,327.4,1.5,1.2,2006-01-03,1018,Aqua,MODIS,84,6.2,296.4,39.5,D,2
30.9166,48.85,308.8,1.6,1.3,2006-01-03,1018,Aqua,MODIS,63,6.2,295.2,13.1,D,2
30.7555,48.2886,312.3,1.5,1.2,2006-01-03,1018,Aqua,MODIS,69,6.2,294.4,13.4,D,2
30.9504,49.8539,300.3,3.6,1.8,2006-01-03,1807,Terra,MODIS,23,6.2,280.3,47.4,N,0
32.3513,47.7108,312.7,1.5,1.2,2006-01-03,2222,Aqua,MODIS,85,6.2,278.1,28.8,N,2
32.2873,49.0082,302.8,1.3,1.1,2006-01-03,2222,Aqua,MODIS,52,6.2,276.5,13,N,2
32.2433,51.4328,300.1,1,1,2006-01-03,2222,Aqua,MODIS,15,6.2,271.6,9.9,N,2
31.3193,49.283,314,1.2,1.1,2006-01-03,2222,Aqua,MODIS,88,6.2,280.3,21.2,N,2
31.2154,48.9583,304.3,1.2,1.1,2006-01-03,2222,Aqua,MODIS,59,6.2,279.2,13.3,N,2
30.3969,49.8637,316.1,1.1,1,2006-01-03,2223,Aqua,MODIS,92,6.2,281.8,20.7,N,2
31.1404,49.3288,302.3,1.2,1.1,2006-01-03,2223,Aqua,MODIS,48,6.2,278.9,11.4,N,2
30.9037,49.6804,301.8,1.1,1.1,2006-01-03,2223,Aqua,MODIS,45,6.2,280.7,9.6,N,2
30.757,48.2846,331.4,1.3,1.1,2006-01-03,2223,Aqua,MODIS,100,6.2,281.4,52.3,N,2
29.244,50.3077,321.7,1,1,2006-01-03,2223,Aqua,MODIS,91,6.2,286.8,0,N,2
32.4994,47.2139,305,1.1,1,2006-01-04,0749,Terra,MODIS,56,6.2,294.3,4.3,D,2
32.5013,47.2024,305.3,1.1,1,2006-01-04,0749,Terra,MODIS,57,6.2,294.1,4.5,D,2
32.2404,51.4314,303.5,1.9,1.3,2006-01-04,0749,Terra,MODIS,56,6.2,282.9,18.2,D,2
32.1796,47.5233,307,1.1,1.1,2006-01-04,0749,Terra,MODIS,63,6.2,294.3,5.7,D,0
32.7305,48.2904,302.8,1.2,1.1,2006-01-04,0749,Terra,MODIS,54,6.2,288.9,5.6,D,0
32.348,47.7059,313.8,1.2,1.1,2006-01-04,0749,Terra,MODIS,73,6.2,292,12.7,D,2
32.3575,47.7081,309.5,1.2,1.1,2006-01-04,0749,Terra,MODIS,68,6.2,291.8,8.4,D,2
32.0597,49.097,305.4,1.4,1.2,2006-01-04,0749,Terra,MODIS,61,6.2,291.8,8.5,D,2
32.2838,49.0034,321.6,1.3,1.1,2006-01-04,0749,Terra,MODIS,81,6.2,289.7,30.3,D,2
30.7145,49.8281,305.9,1.6,1.2,2006-01-04,0750,Terra,MODIS,62,6.2,291.5,11.6,D,2
30.9941,49.9483,311.8,1.6,1.3,2006-01-04,0750,Terra,MODIS,72,6.2,289.4,21.7,D,2
31.3198,49.282,318.6,1.5,1.2,2006-01-04,0750,Terra,MODIS,79,6.2,291.6,25.5,D,2
31.4064,48.6554,308.5,1.3,1.1,2006-01-04,0750,Terra,MODIS,67,6.2,292.3,11,D,2
30.0311,50.6358,302.5,1.9,1.3,2006-01-04,0750,Terra,MODIS,53,6.2,291.2,8.8,D,2
30.9509,49.8717,313.8,1.6,1.2,2006-01-04,0750,Terra,MODIS,74,6.2,288.6,23.3,D,2
31.3135,49.2896,303.7,1.5,1.2,2006-01-04,0750,Terra,MODIS,54,6.2,290.7,7,D,2
31.2035,48.9663,305,1.4,1.2,2006-01-04,0750,Terra,MODIS,60,6.2,292.3,8.3,D,2
31.4089,48.6416,303.2,1.3,1.1,2006-01-04,0750,Terra,MODIS,55,6.2,292.5,5.8,D,2
31.1347,49.3113,308.4,1.5,1.2,2006-01-04,0750,Terra,MODIS,51,6.2,291.2,11.3,D,2
31.3012,48.7831,306,1.4,1.2,2006-01-04,0750,Terra,MODIS,63,6.2,289.7,9.3,D,2
31.3013,49.1171,306.5,1.4,1.2,2006-01-04,0750,Terra,MODIS,64,6.2,291.2,10.5,D,2
30.3931,49.8666,313.4,1.6,1.3,2006-01-04,0750,Terra,MODIS,74,6.2,291.7,22.5,D,2
30.038,50.6316,307.3,1.9,1.3,2006-01-04,0750,Terra,MODIS,65,6.2,292.4,16.5,D,2
30.9268,48.8589,305.2,1.4,1.2,2006-01-04,0750,Terra,MODIS,61,6.2,290.9,8.5,D,2
27.4828,52.9733,301,3.1,1.7,2006-01-04,0750,Terra,MODIS,32,6.2,286.7,19.3,D,2
30.3472,50.2882,319.8,1.8,1.3,2006-01-04,0750,Terra,MODIS,80,6.2,290.5,39.6,D,2
30.9479,49.8877,317.3,1.6,1.2,2006-01-04,0750,Terra,MODIS,78,6.2,290,29.3,D,2
31.1319,49.3264,313.9,1.5,1.2,2006-01-04,0750,Terra,MODIS,74,6.2,291.2,18.5,D,2
31.3037,48.7691,328.8,1.4,1.2,2006-01-04,0750,Terra,MODIS,86,6.2,291.5,41.6,D,2
30.3437,50.3061,303.9,1.8,1.3,2006-01-04,0750,Terra,MODIS,58,6.2,289.9,11.9,D,2
30.7613,48.2745,304.9,1.3,1.1,2006-01-04,0750,Terra,MODIS,60,6.2,291.4,5.4,D,2
30.7589,48.2879,306.5,1.3,1.1,2006-01-04,0750,Terra,MODIS,64,6.2,290.5,7.1,D,2
31.3162,49.2746,305.2,1.5,1.2,2006-01-04,0750,Terra,MODIS,61,6.2,291.8,8.3,D,2
31.135,49.3338,302.1,1.5,1.2,2006-01-04,0750,Terra,MODIS,50,6.2,291.1,5.7,D,2
27.4838,52.9681,300.1,3.1,1.7,2006-01-04,0750,Terra,MODIS,24,6.2,286.4,18,D,2
31.2061,48.952,318.4,1.4,1.2,2006-01-04,0750,Terra,MODIS,78,6.2,292.2,24.3,D,2
30.5682,49.9243,309.9,1.6,1.3,2006-01-04,0750,Terra,MODIS,69,6.2,291.6,17.8,D,2
31.1378,49.3187,318.2,1.5,1.2,2006-01-04,0750,Terra,MODIS,78,6.2,292,26.1,D,2
30.7512,48.2795,336.2,1.3,1.1,2006-01-04,0750,Terra,MODIS,90,6.2,292.6,51.9,D,2
31.2172,48.4978,306.7,1.3,1.1,2006-01-04,0750,Terra,MODIS,64,6.2,291,10.7,D,2
27.5478,52.5797,306.5,1.7,1.3,2006-01-04,0922,Aqua,MODIS,21,6.2,294.5,11,D,2
30.2511,50.7817,302.3,2,1.4,2006-01-04,0922,Aqua,MODIS,52,6.2,291.6,9,D,2
30.2543,50.7739,301.8,2,1.4,2006-01-04,0922,Aqua,MODIS,49,6.2,291.3,8.3,D,2
28.3401,57.7529,310,1,1,2006-01-04,0922,Aqua,MODIS,61,6.2,296.5,5.3,D,0
29.8789,53.3417,305.2,1.4,1.2,2006-01-04,0922,Aqua,MODIS,61,6.2,287.8,9.6,D,0
30.3424,50.3009,304.8,2.1,1.4,2006-01-04,0923,Aqua,MODIS,60,6.2,293.1,13,D,2
30.7528,48.2879,309.3,2.8,1.6,2006-01-04,0923,Aqua,MODIS,68,6.2,292.9,26.9,D,2
31.2053,48.9376,308,2.5,1.5,2006-01-04,0923,Aqua,MODIS,66,6.2,293,23.2,D,2
30.3381,50.2793,309.7,2.1,1.4,2006-01-04,0923,Aqua,MODIS,69,6.2,294,22.8,D,2
31.2107,48.9628,303.3,2.5,1.5,2006-01-04,0923,Aqua,MODIS,55,6.2,292.3,13.1,D,2
30.9367,49.8807,315.6,2.2,1.4,2006-01-04,0923,Aqua,MODIS,76,6.2,291.4,40,D,2
32.2362,51.4253,303.8,1.6,1.3,2006-01-04,0923,Aqua,MODIS,57,6.2,286.3,11.6,D,2
30.3958,50.6148,304.7,2,1.4,2006-01-04,0923,Aqua,MODIS,60,6.2,292.7,12.4,D,2
33.4361,57.2464,309.8,1,1,2006-01-04,0923,Aqua,MODIS,69,6.2,282.7,11.5,D,0
31.3182,49.2727,314.4,2.4,1.5,2006-01-04,0923,Aqua,MODIS,75,6.2,293.6,39.2,D,2
30.7508,48.2929,306,2.8,1.6,2006-01-04,0923,Aqua,MODIS,63,6.2,292.8,17.5,D,2
30.9319,49.8576,302.5,2.2,1.4,2006-01-04,0923,Aqua,MODIS,52,6.2,291.5,11.4,D,2
31.7962,48.7762,304.7,2.5,1.5,2006-01-04,0923,Aqua,MODIS,60,6.2,292.9,17.5,D,0
31.1264,49.3144,309.3,2.4,1.5,2006-01-04,0923,Aqua,MODIS,68,6.2,291.9,26.4,D,2
32.3725,48.3185,302.2,2.6,1.5,2006-01-04,0923,Aqua,MODIS,50,6.2,291.3,12.6,D,0
32.3498,47.693,308.5,2.8,1.6,2006-01-04,0923,Aqua,MODIS,67,6.2,293.4,25.5,D,2
31.3042,48.7668,315.1,2.5,1.5,2006-01-04,0923,Aqua,MODIS,75,6.2,293.1,45.2,D,2
30.7464,48.2593,311.8,2.8,1.6,2006-01-04,0923,Aqua,MODIS,72,6.2,293.9,35.3,D,2
30.385,49.8545,313.7,2.3,1.5,2006-01-04,0923,Aqua,MODIS,73,6.2,293.3,34.1,D,2
30.343,50.2941,308.3,2.1,1.4,2006-01-04,0923,Aqua,MODIS,67,6.2,293.4,20.1,D,2
30.7446,48.2643,314.3,2.8,1.6,2006-01-04,0923,Aqua,MODIS,75,6.2,293.8,44.7,D,2
32.365,48.3136,305.5,2.6,1.5,2006-01-04,0923,Aqua,MODIS,62,6.2,291.7,21.9,D,0
